Schedule,Item,Description,MDRM_Prefix,MDRM_Code,Item_Number
RC-O,Total deposit liabilities gross,Total deposit liabilities before exclusions as defined in Section 3(l),RCFD,F236,1.
RC-O,Total allowable exclusions,Total allowable exclusions including interest accrued and unpaid,RCFD,F237,2.
RC-O,Total foreign deposits,Total foreign deposits including interest accrued and unpaid,RCFN,F234,3.
RC-O,Avg consolidated total assets,Average consolidated total assets for the calendar quarter,RCFD,K652,4.
RC-O,Averaging method,Averaging method used (1=daily 2=weekly),RCFD,K653,4.a.
RC-O,Avg tangible equity,Average tangible equity for the calendar quarter,RCFD,K654,5.
RC-O,Holdings unsecured debt,Holdings of long-term unsecured debt issued by other FDIC-insured depository institutions,RCFD,K655,6.
RC-O,Unsecured other borrowings 1yr or less,Unsecured other borrowings with remaining maturity one year or less,RCFD,G465,7.a.
RC-O,Unsecured other borrowings 1-3yr,Unsecured other borrowings over one year through three years,RCFD,G466,7.b.
RC-O,Unsecured other borrowings 3-5yr,Unsecured other borrowings over three years through five years,RCFD,G467,7.c.
RC-O,Unsecured other borrowings over 5yr,Unsecured other borrowings over five years,RCFD,G468,7.d.
RC-O,Sub debt 1yr or less,Subordinated notes and debentures with remaining maturity one year or less,RCFD,G469,8.a.
RC-O,Sub debt 1-3yr,Subordinated notes and debentures over one year through three years,RCFD,G470,8.b.
RC-O,Sub debt 3-5yr,Subordinated notes and debentures over three years through five years,RCFD,G471,8.c.
RC-O,Sub debt over 5yr,Subordinated notes and debentures over five years,RCFD,G472,8.d.
RC-O,Brokered reciprocal deposits,Brokered reciprocal deposits included in RC-E Part I M.1.b,RCON,G803,9.
RC-O,Fully consolidated brokered reciprocal,Fully consolidated brokered reciprocal deposits,RCON,L190,9.a.
RC-O,Bankers bank certification,Does institution meet bankers bank definition and business conduct test,RCFD,K656,10.
RC-O,Bankers bank deduction,Bankers bank deduction,RCFD,K657,10.a.
RC-O,Bankers bank deduction limit,Bankers bank deduction limit,RCFD,K658,10.b.
