Schedule,Item,Description,RCON_ColB,Column,Notes
RC-C Part I,1.a.(1),1-4 family residential construction loans,F158,B,All banks
RC-C Part I,1.a.(2),Other construction loans and all land development and other land loans,F159,B,All banks
RC-C Part I,1.b.,Secured by farmland (including farm residential and other improvements),1420,B,All banks
RC-C Part I,1.c.(1),Revolving open-end loans secured by 1-4 family residential properties,1797,B,All banks
RC-C Part I,1.c.(2)(a),Closed-end loans secured by 1-4 family residential properties - first liens,5367,B,All banks
RC-C Part I,1.c.(2)(b),Closed-end loans secured by 1-4 family residential properties - junior liens,5368,B,All banks
RC-C Part I,1.d.,Secured by multifamily (5 or more) residential properties,1460,B,All banks
RC-C Part I,1.e.(1),Loans secured by owner-occupied nonfarm nonresidential properties,F160,B,All banks
RC-C Part I,1.e.(2),Loans secured by other nonfarm nonresidential properties,F161,B,All banks
RC-C Part I,2.,Loans to depository institutions and acceptances of other banks,1288,B,All banks
RC-C Part I,2.a.,To commercial banks in the U.S.,B531,A,$300M+ banks
RC-C Part I,2.b.,To other depository institutions in the U.S.,B534,A,$300M+ banks
RC-C Part I,2.c.,To banks in foreign countries,B535,A,$300M+ banks
RC-C Part I,3.,Loans to finance agricultural production and other loans to farmers,1590,B,All banks
RC-C Part I,4.,Commercial and industrial loans,1766,B,All banks
RC-C Part I,4.a.,Commercial and industrial loans - To U.S. addressees (domicile),1763,A,$300M+ banks
RC-C Part I,4.b.,Commercial and industrial loans - To non-U.S. addressees (domicile),1764,A,$300M+ banks
RC-C Part I,6.a.,Credit cards,B538,B,All banks
RC-C Part I,6.b.,Other revolving credit plans,B539,B,All banks
RC-C Part I,6.c.,Automobile loans,K137,B,All banks
RC-C Part I,6.d.,Other consumer loans,K207,B,All banks
RC-C Part I,8.,Obligations of states and political subdivisions in the U.S.,2107,B,All banks
RC-C Part I,9.a.,Loans to nondepository financial institutions,J454,B,All banks
RC-C Part I,9.b.,Other loans,J464,B,All banks
RC-C Part I,9.b.(1),Loans for purchasing or carrying securities including margins loans,1545,A,$300M+ banks
RC-C Part I,9.b.(2),All other loans (exclude consumer loans),J451,A,$300M+ banks
RC-C Part I,10.,Lease financing receivables (net of unearned income),2165,B,All banks
RC-C Part I,10.a.,Leases to individuals (consumer leases),F162,A,$300M+ banks
RC-C Part I,10.b.,All other leases,F163,A,$300M+ banks
RC-C Part I,11.,LESS: Any unearned income on loans reflected in items 1-9,2123,B,All banks
RC-C Part I,12.,Total loans and leases held for investment and held for sale,2122,B,Must equal Schedule RC sum of items 4.a and 4.b
