Table,Table 2 - Regulatory Capital - Bank of America N.A.,,,December 31 2024
Entity,Bank of America N.A.,,,
(Dollars in millions except ratios),Basel 3 Standardized CECL Transitional,Basel 3 Standardized CECL Fully Phased-In,Basel 3 Advanced CECL Transitional,Basel 3 Advanced CECL Fully Phased-In
Regulatory Capital,,,,
Common equity tier 1 capital,194341,193717,194341,193717
Tier 1 capital,194341,193717,194341,193717
Total capital (2),209256,209477,198923,199122
Assets,,,,
Risk-weighted assets,1443806,1443806,1150568,1150568
Adjusted quarterly average assets (3),2546199,2545575,2546199,2545575
Supplementary Leverage Exposure,,,3014693,3014069
Capital Ratios,,,,
Common equity tier 1 capital,13.5%,13.4%,16.9%,16.8%
Tier 1 capital,13.5%,13.4%,16.9%,16.8%
Total capital,14.5%,14.5%,17.3%,17.3%
Tier 1 leverage,7.6%,7.6%,7.6%,7.6%
Supplementary Leverage Ratio,,,6.4%,6.4%
