Table 1 - Capital Composition,September 30 2025
(Dollars in millions),Amount
Total common shareholders' equity,278160
"Goodwill, net of related deferred tax liabilities",-68653
Deferred tax assets arising from net operating loss and tax credit carryforwards,-8483
"Intangibles, other than mortgage servicing rights and goodwill, net of related deferred tax liabilities",-1401
Defined benefit pension plan net assets,-838
"Cumulative unrealized net (gain) loss related to changes in fair value of financial liabilities attributable to own creditworthiness, net-of-tax",1645
Accumulated net (gains) loss on certain cash flow hedges,2464
Other,-19
Common equity tier 1 capital,202875
"Qualifying preferred stock, net of issuance cost",25991
Other,-37
Tier 1 capital,228829
Tier 2 capital instruments,20502
Qualifying allowance for credit losses,14420
Other,-318
Total capital under the Standardized approach,263433
Adjustment in qualifying allowance for credit losses under the Advanced approaches,-10703
Total capital under the Advanced approaches,252730
