Table 19 - Equity Exposures In Banking Book - Carrying Value and Fair Value by Risk Weight Approach,September 30 2025,,,,
(Dollars in millions),Carrying Value,Fair Value,Exposure,Risk-Weighted Assets,Risk Weight %
Simple Risk Weight Approach:,,,,,,
0% Risk Weight (Federal Reserve Bank stock),5461,5461,10868,0,0%
20% Risk Weight,644,644,644,129,20%
Community Development Equity Exposures,16144,16143,16155,16155,100%
Publicly Traded Equity Exposures,1476,1630,1476,1476,100%
Non-publicly Traded Equity Exposures,30285,31104,36507,36507,100%
Significant Investments in Unconsolidated Financial Institutions,306,306,306,765,250%
Total Simple Risk Weight Approach,54316,55288,65956,55032,83%
Equity Exposures to Investment Funds:,,,,,,
Full Look-through Approach,27940,27940,27999,8644,31%
Total Equity Exposures to Investment Funds,27940,27940,27999,8644,31%
Total Equity Exposures,82256,83228,93955,63676,68%
