"Table 8: Residential Mortgage Exposures by Probability of Default",,,,,,,,
"In millions of dollars, except percentages","June 30, 2024",,,,,,,
PD Range Bands,Balance Sheet Amount,Undrawn Exposures (1),Total EAD (2),RWA,PD (3),LGD (3),Risk Weight (3)(5),
"0.00% to < 0.10%",87735,5887,89434,4035,0.05%,30.11%,4.51%,
"0.10% to < 0.20%",21621,9,21623,3126,0.15%,44.78%,14.46%,
"0.20% to < 0.75%",26082,31,26091,6716,0.36%,41.35%,25.74%,
"0.75% to < 5.50%",4414,8,4416,3227,1.59%,44.08%,73.07%,
"5.50% to < 100.00%",950,,950,2689,19.19%,47.28%,282.96%,
"100% (Default) (4)",2276,5,2281,1869,100.00%,44.64%,81.95%,
Total,143079,5940,144795,21661,1.87%,35.09%,14.96%,
,,,,,,,,
Notes:,,,,,,,,
"(1) Amounts represent the face value of undrawn commitments.",,,,,,,,
"(2) Represents total EAD for on-balance sheet and undrawn exposures.",,,,,,,,
"(3) Exposure-weighted average by PD range bands and in total.",,,,,,,,
"(4) The portion of EAD for defaulted residential mortgage exposures covered by an eligible guarantee from the U.S. government or its agencies, is assigned a 20% risk weight.",,,,,,,,
"(5) Risk weights incorporate adjustments, after RWA calculation, not reflected in underlying parameters.",,,,,,,,
