"Table 10: Other Retail Exposures by Probability of Default",,,,,,,,
"In millions of dollars, except percentages","June 30, 2024",,,,,,,
PD Range Bands,Balance Sheet Amount,Undrawn Exposures (1),Total EAD (2),RWA,PD (3),LGD (3),Risk Weight (3)(4),
"0.00% to < 0.50%",14155,28133,21040,4348,0.14%,69.02%,20.67%,
"0.50% to < 2.00%",5551,3138,6697,5783,1.14%,82.26%,86.36%,
"2.00% to < 3.50%",2451,402,2612,3163,2.63%,89.00%,121.08%,
"3.50% to < 5.00%",2268,107,2391,2815,4.10%,81.39%,117.77%,
"5.00% to < 8.00%",1110,80,1139,1309,5.82%,76.55%,114.88%,
"8.00% to < 100%",1676,79,1747,2869,27.80%,86.65%,164.15%,
"100% (Default)",43,20,62,62,100.00%,50.05%,100.00%,
Total,27254,31958,35688,20349,2.48%,74.87%,57.02%,
,,,,,,,,
Notes:,,,,,,,,
"(1) Amounts represent the face value of undrawn commitments and lines of credit.",,,,,,,,
"(2) Represents total EAD for on-balance sheet and undrawn exposures.",,,,,,,,
"(3) Exposure-weighted average by PD range bands and in total.",,,,,,,,
"(4) Risk weights incorporate adjustments, after RWA calculation, not reflected in underlying parameters.",,,,,,,,
