"Table 14: Wholesale Banking Book Exposures Covered by Eligible Guarantees or Credit Derivatives (1)(2)",,
In millions of dollars,"June 30, 2024",
Exposure Type:,,
"  Debt Securities",743,
"  Loans",20247,
"  Unused Commitments and Guarantees",35820,
"  Other (3)",-1063,
Total Exposures,55746,
,,
Notes:,,
"(1) Wholesale banking book exposures are presented on an EAD basis.",,
"(2) For U.S. Basel III purposes, the benefit of eligible guarantees and eligible credit derivatives for wholesale banking book exposures is captured through PD substitution in the calculation of risk-weighted assets.",,
"(3) Includes deposits with banks and other assets.",,
