Table 2: Risk-Based Capital Ratios,,,,,,
In millions of dollars except ratios,Required Capital Ratios - Advanced Approaches,Required Capital Ratios - Standardized Approach,September 30 2024 - Advanced Approaches,September 30 2024 - Standardized Approach,,
CET1 Capital (3),,,158106,158106,,
Tier 1 Capital (3),,,175788,175788,,
Total Capital (3),,,197784,206434,,
Risk Weighted Assets (3),,,1300152,1153150,,
CET1 Capital Ratio (4),10.5%,12.3%,12.16%,13.71%,,
Tier 1 Capital Ratio (4),12.0%,13.8%,13.52%,15.24%,,
Total Capital Ratio (4),14.0%,15.8%,15.21%,17.90%,,
Quarterly Adjusted Average Total Assets (3)(5),,,2455486,,,
Leverage Ratio,,4.0%,,7.16%,,
Total Leverage Exposure (3)(6),,,3005709,,,
Supplementary Leverage Ratio,,5.0%,,5.85%,,
,,,,,,
CECL Full Impact Scenario,,,September 30 2024 - Advanced Approaches,September 30 2024 - Standardized Approach,,
CET1 Capital Ratio,,,12.09%,13.63%,,
Tier 1 Capital Ratio,,,13.45%,15.17%,,
Total Capital Ratio,,,15.15%,17.83%,,
Leverage Ratio,,,,7.12%,,
Supplementary Leverage Ratio,,,5.81%,,,
