Asset Category,HQLA Level,Asset Category Description
A-0-Q,Level 1,Cash
A-1-Q,Level 1,Debt issued by the U.S. Treasury
A-2-Q,Level 1,U.S. Government Agency-issued debt (excluding the US Treasury) with a US Government guarantee
A-3-Q,Level 1,"Vanilla debt (including pass-through MBS) guaranteed by a U.S. Government Agency, where the U.S. Government Agency has a full U.S. Government guarantee"
A-4-Q,Level 1,"Structured debt (excluding pass-through MBS) guaranteed by a U.S. Government Agency, where the U.S. Government Agency has a full U.S. Government guarantee"
A-5-Q,Level 1,Other debt with a U.S. Government guarantee
S-1-Q,Level 1,Debt issued by non-U.S. Sovereigns (excluding central banks) with a 0% RW
S-2-Q,Level 1,Debt issued by multilateral development banks or other supranationals with a 0% RW
S-3-Q,Level 1,"Debt with a non-U.S. sovereign (excluding central banks) or multilateral development bank or other supranational guarantee, where guaranteeing entity has a 0% RW"
S-4-Q,Level 1,"Debt issued or guaranteed by a non-U.S. Sovereign (excluding central banks) that does not have a 0% RW, but supports outflows that are in the same jurisdiction of the sovereign and are denominated in the home currency of the sovereign"
CB-1-Q,Level 1,Securities issued or guaranteed by a central bank with a 0% RW
CB-2-Q,Level 1,"Securities issued or guaranteed by a non-U.S. central bank that does not have a 0% RW, but supports outflows that are in the same jurisdiction of the central bank and are denominated in the home currency of the central bank"
G-1-Q,Level 2a,Senior to preferred debt issued by a U.S. Government Sponsored Entity (GSE)
G-2-Q,Level 2a,Vanilla debt (including pass-through MBS) guaranteed by a U.S. GSE
G-3-Q,Level 2a,Structured debt (excluding pass-through MBS) guaranteed by a U.S. GSE
S-5-Q,Level 2a,"Debt issued by non-U.S. Sovereigns (excluding central banks) with a 20% RW, not otherwise included"
S-6-Q,Level 2a,"Debt issued by multilateral development banks or other supranationals with a 20% RW, not otherwise included"
S-7-Q,Level 2a,"Debt with a non-U.S. sovereign (excluding central banks) or multilateral development bank or other supranational guarantee, where guaranteeing entity has a 20% RW, not otherwise included"
CB-3-Q,Level 2a,"Securities issued or guaranteed by a non-U.S. central bank with a 20% RW, not otherwise included"
E-1-Q,Level 2b,U.S. equities - Russell 1000
E-2-Q,Level 2b,"Non-U.S. Equities listed on a foreign index designated to by the local supervisor as qualifying for the LCR, and denominated in USD or the currency of outflows that the foreign entity is supporting"
IG-1-Q,Level 2b,Investment grade corporate debt
IG-2-Q,Level 2b,Investment grade municipal obligations
