Maturity Bucket Value,Bucket Number
Open,1
Day 1,2
Day 2,3
Day 3,4
Day 4,5
Day 5,6
Day 6,7
Day 7,8
Day 8,9
Day 9,10
Day 10,11
Day 11,12
Day 12,13
Day 13,14
Day 14,15
Day 15,16
Day 16,17
Day 17,18
Day 18,19
Day 19,20
Day 20,21
Day 21,22
Day 22,23
Day 23,24
Day 24,25
Day 25,26
Day 26,27
Day 27,28
Day 28,29
Day 29,30
Day 30,31
Day 31,32
Day 32,33
Day 33,34
Day 34,35
Day 35,36
Day 36,37
Day 37,38
Day 38,39
Day 39,40
Day 40,41
Day 41,42
Day 42,43
Day 43,44
Day 44,45
Day 45,46
Day 46,47
Day 47,48
Day 48,49
Day 49,50
Day 50,51
Day 51,52
Day 52,53
Day 53,54
Day 54,55
Day 55,56
Day 56,57
Day 57,58
Day 58,59
Day 59,60
Day 60,61
61 - 67 Days,62
68 - 74 Days,63
75 - 82 Days,64
83 - 90 Days,65
91 - 120 Days,66
121 - 150 Days,67
151 - 179 Days,68
180 - 270 Days,69
271 - 364 Days,70
>= 1 Yr <= 2 Yr,71
>2 Yr <= 3 Yr,72
>3 Yr <= 4 Yr,73
>4 Yr <= 5 Yr,74
>5 Yr,75
Perpetual,76
