Table Number,Description,Regulation Reference,RSF Factor,PID,Counterparty,Maturity Bucket,Key Conditions
52,Level 1 HQLA central bank securities,SS.106(a)(1)(iii)-(iv),0%,"I.A.1, 2, 3, 4, 5, 7",N/A,>= 6 Months,"Collateral Class = CB-1-Q, CB-2-Q; Effective Maturity Bucket < 6M or NULL"
53,Trade date receivables expected to settle,SS.106(a)(1)(v),0%,O.S.8,#,#,Sub-Product = Unsettled (Regular Way); Forward Start Amount = *
54,Other level 1 HQLA securities,SS.106(a)(1)(vi),0%,"I.A.1, 2, 5, 7",N/A,#,"Collateral Class = A-1-Q through S-4-Q; Effective Maturity Bucket < 6M or NULL"
55,Lending to financials secured by rehypothecatable L1 HQLA,SS.106(a)(1)(vii),0%,"I.S.1, 2, 3, 5, 6",Financial Sector Entity,< 6 Months,Collateral Class = Level 1 HQLA
56,Undrawn commitments,SS.106(a)(2),5%,"O.O.4, 5, 6",#,< 1 Year,Forward Start = NULL
57,Level 2A HQLA central bank securities,SS.106(a)(3)(i),15%,"I.A.1, 2, 3, 4, 5, 7",N/A,>= 6 Months,Collateral Class = CB-3-Q
58,Other level 2A HQLA securities,SS.106(a)(3)(i),15%,"I.A.1, 2, 5, 7",N/A,#,"Collateral Class = Level 2A HQLA, Not CB-3-Q"
59,Lending to financials secured by rehypothecatable non-L1 HQLA < 6M,SS.106(a)(3)(ii),15%,"I.S.1, 2, 3, 5, 6",Financial Sector Entity,< 6 Months,Collateral Class = Not Level 1 HQLA
60,Other secured lending to financials < 6M,SS.106(a)(3)(ii),15%,"I.S.7, 8",Financial Sector Entity,< 6 Months,
61,Unsecured lending to financials < 6M,SS.106(a)(3)(ii),15%,"I.U.1, 2, 4, 5, 6, 8",Financial Sector Entity,< 6 Months,
62,Level 2B HQLA securities,SS.106(a)(4)(i),50%,"I.A.1, 2, 5, 7",N/A,#,Collateral Class = Level 2B HQLA
63,Secured lending to financials/CB >= 6M < 1Y,SS.106(a)(4)(ii),50%,"I.S.1, 2, 3, 5, 6, 7, 8","Financial Sector Entity, Central Bank",">= 6 Months, < 1 Year",
64,Unsecured lending to financials/CB >= 6M < 1Y,SS.106(a)(4)(ii),50%,"I.U.1, 2, 4, 5, 6, 8","Financial Sector Entity, Central Bank",">= 6 Months, < 1 Year",
65,Operational deposits placed,SS.106(a)(4)(iii),50%,I.U.3,Financial Sector Entity,#,
66,Secured lending to non-financials < 1Y,SS.106(a)(4)(iv),50%,"I.S.1, 2, 3, 5, 6, 7, 8","Retail, Small Business, Non-Financial Wholesale Entity",< 1 Year,
67,Unsecured lending to non-financials < 1Y,SS.106(a)(4)(iv),50%,"I.U.1, 2, 5, 6","Retail, Small Business, Non-Financial Wholesale Entity",< 1 Year,
68,Interest receivable from central banks >= 6M < 1Y,SS.106(a)(4)(iv),50%,I.O.6,Central Bank,">= 6 Months, < 1 Year",
69,Non-HQLA central bank debt securities >= 6M < 1Y,SS.106(a)(4)(iv),50%,"I.A.1, 2, 3, 4, 5, 7",N/A,">= 6 Months, < 1 Year","Collateral Class = CB-1, CB-2, CB-3, CB-4"
70,Other unencumbered non-HQLA securities < 1Y,SS.106(a)(4)(iv),50%,"I.A.1, 2, 5, 7",N/A,< 1 Year,41 non-HQLA collateral classes listed
71,Other interest receivable < 1Y,SS.106(a)(4)(iv),50%,I.O.6,Not Central Bank,< 1 Year,
