Table Number,Description,Regulation Reference,RSF Factor,PID,Encumbrance Period,Key Conditions
90,HQLA encumbered >= 6M < 1Y,"SS.106(c)(1)(ii), SS.106(d)(2)",50%,I.A.7,">= 6 Months, < 1 Year",Collateral Class = HQLA
91,Non-HQLA CB securities < 1Y maturity encumbered >= 6M < 1Y,"SS.106(c)(1)(ii), SS.106(d)(2)",50%,I.A.7,">= 6 Months, < 1 Year","Collateral Class = CB-1, CB-2, CB-3, CB-4; Maturity Bucket < 1Y"
92,Cash items in process encumbered >= 6M < 1Y,SS.106(c)(1)(ii),50%,I.U.7,">= 6 Months, < 1 Year",
93,Unsecured lending < 1Y maturity encumbered >= 6M < 1Y,SS.106(c)(1)(ii),50%,"I.U.1, 2, 4, 5, 6, 8",">= 6 Months, < 1 Year",Maturity Bucket < 1Y
94,Operational deposits placed encumbered >= 6M < 1Y,SS.106(c)(1)(ii),50%,I.U.3,">= 6 Months, < 1 Year",Counterparty = Financial Sector Entity
95,Secured lending < 1Y maturity encumbered >= 6M < 1Y,"SS.106(c)(1)(ii), SS.106(d)(1)",50%,"I.S.1, 2, 3, 5-8",">= 6 Months, < 1 Year",Maturity Bucket < 1Y
96,Non-HQLA securities < 1Y maturity encumbered >= 6M < 1Y,"SS.106(c)(1)(ii), SS.106(d)(2)",50%,I.A.7,">= 6 Months, < 1 Year",41 non-HQLA collateral classes; Maturity Bucket < 1Y
97,"HQLA, non-HQLA and other assets excl loans encumbered >= 1Y","SS.106(c)(1)(iii), SS.106(d)(2)",100%,I.A.7,>= 1 Year,53+ collateral classes including HQLA and all non-HQLA
98,Unsecured loans and cash items encumbered >= 1Y,SS.106(c)(1)(iii),100%,I.U.1-8,>= 1 Year,
99,Secured lending transactions encumbered >= 1Y,"SS.106(c)(1)(iii), SS.106(d)(1)",100%,"I.S.1, 2, 3, 5-8",>= 1 Year,
100,Other assets encumbered >= 1Y,SS.106(c)(1)(iii),100%,S.B.4,>= 1 Year,Balance Sheet table
101,Additional RSF for off-balance sheet rehypothecated assets,SS.106(d)(3),Varies,S.L.9,N/A,
102,Gross NSFR derivative liability amount,SS.107(b)(5),5%,S.DC.2,N/A,Sub-Product2 excludes Agent
103,Gross settlement payments delivered,SS.107(b)(5),5%,S.DC.3,N/A,Sub-Product2 excludes Agent
104,CCP mutualized loss sharing arrangements,SS.107(b)(6),100%,S.DC.11,N/A,
105,Initial margin provided,SS.107(b)(7),85%,"S.DC.5, 6",N/A,Sub-Product2 excludes Agent
106,Additional RSF for IM and DFC pledged - secured lending,"SS.107(b)(6)-(7)",100%,"I.S.1, 2, 3, 5, 6, 7, 8",N/A,Counterparty = Financial Sector Entity; Maturity >= 1Y; Encumbrance = Derivative IM and DFC
107,Additional RSF for IM and DFC pledged - unsecured lending,"SS.107(b)(6)-(7)",100%,"I.U.1, 2, 4, 5, 6, 8",N/A,Counterparty = Financial Sector Entity; Maturity >= 1Y; Encumbrance = Derivative IM and DFC
108,Additional RSF for IM and DFC pledged - physical and other,"SS.107(b)(6)-(7)",100%,"I.A.1, 2, 5, 7",N/A,"Collateral Class = P-1, P-2, Z-1; Encumbrance = Derivative IM and DFC"
109,Additional RSF for IM and DFC pledged - other assets,"SS.107(b)(6)-(7)",100%,S.B.4,N/A,Balance Sheet table; Encumbrance = Derivative IM and DFC
