Line Item No.,Line Item Name,MDRM (CCHE),Detailed Description,Allowed Values,Format / Line Item Length
1,Loan Number,M142,"Loan Number - Report an identifier for a loan that will be the same from month to month. Must identify the loan for its entire life and must be unique (piggy-backs should be separated). If submitting to OCC as part of OCC Mortgage Metrics Data or OCC Home Equity Data, use the same loan number.","A contributor-defined alphanumeric value up to 32 characters.",Character (32)
2,Loan Closing Date,M143,"Loan Closing Date - Report the date the loan originally closed. Used to determine the loan's vintage. If the loan closing date is not available, the origination date can be used instead.",YYYYMMDD,YYYYMMDD
3,First Payment Date,M144,"First Payment Date - Report the date the borrower was scheduled to make the first payment on the loan, or first started making payments. For lines with a zero balance and no draws, leave blank.",YYYYMMDD,YYYYMMDD
4,Property State,9200,"Property State - Report the state in which the property is located. If a loan is secured by two properties in different states and is flagged as a commercial loan, leave blank.",Two-letter postal codes for the state,Character(2)
5,Property ZIP Code,9220,"Property Zip Code - Report the five-digit ZIP code.","Five-digit number. Include leading zeroes, e.g.: 00901, 10101",Character(5)
6,Original Loan Amount Disbursed,M147,"Original Loan Amount Disbursed - Report the dollar amount of the funds disbursed to the borrower at the time of loan closing. Amount of loan rounded to the nearest whole dollar. Must be populated.","e.g. 125000 for $125,000.00",Whole Number
7,Original Loan / Line Commitment,M242,"Original Loan / Line Commitment - Report the total credit line available at origination (the total commitment), not the actual amount drawn (amount drawn reported in Line Item 6). Note: For HELOANs, Line items 6 and 7 will be the same value.","e.g. 125000 for $125,000.00. Use banker's rounding.",Whole Number
8,Original Property Value,M148,"Original Property Value - Report the property value in dollars at the time the loan was originated, defined as the lesser of selling price or the appraised value of the property securing the loan at origination.","e.g. 125000 for $125,000.00",Whole Number
9,Original Combined LTV,M150,"Original Combined LTV - Report the original combined loan-to-value (LTV) ratio which is the original amount of the home equity loan (or credit line) from Line Item 7, in addition to any senior or other junior liens, divided by the property value at origination. If there is only one lien, report LTV in the Original Combined LTV field. Populate with NULL if unavailable.","Provide as a decimal. e.g.: 0.8 for 80%; 1.05 for 105%","Numeric, to 2 decimals"
10,Income Documentation,M151,"Report how the borrower's income levels were documented at the time of origination. Full = full verification via W2, pay stubs, tax returns, etc. Alt/Low = qualified without requiring verification of employment, assets, etc. Stated = borrower qualified based on representation of income without direct verification. May be provided on a best efforts basis for loans serviced for others and loans acquired through M&A.","1 Full; 2 Alt/Low - Lender; 3 Alt/Low - Borrower; 4 Alt/Low - Unknown; 5 Stated - Lender; 6 Stated - Borrower; 7 Stated - Unknown",Character (1)
11,Debt to Income (DTI) Back-End at Origination,M152,"Debt to Income (DTI) - Report the back-end DTI ratio, which is the percent of a borrower's total monthly debt payments (including proposed housing expenses) divided by the borrower(s) gross monthly income. May be provided on a best efforts basis for loans serviced for others and M&A-acquired loans.",Whole Number,Whole Number
12,Debt to Income (DTI) Front-End at Origination,M153,"Debt to Income (DTI) - Report the front-end DTI ratio, which is the monthly principal, interest, tax, insurance (PITI) payment divided by the borrower(s) gross monthly income (PITI Housing Ratio).",Whole Number,Whole Number
13,Origination Credit Bureau Score,M154,"Report the credit score of the borrower at origination using a commercially available credit bureau score. Report the credit score vendor in item 109 and the credit score version in item 110.","Provide as a whole number, e.g.: 759",Whole Number
