Line Item No.,Line Item Name,Technical Line Item Name,MDRM (CCRS),Description,Static or Dynamic,Mandatory or Optional,Format
8,Product Type,ProductType,M051,"Report each account in one of the following product types: 1 = Co-brand (typically related to products and services, including retail stores, airlines, etc. Excluding Oil and Gas cards); 2 = Oil and Gas Co-Brand; 3 = Affinity (having affiliations such as Unions, Universities, etc.); 4 = Student (if internally identified as a student card); 5 = Other; 6 = Health Care Card (a card that can only be used specifically with the chosen medical providers and carry terms not typically available to general purpose cards or private label cards).",D,Mandatory,N1
9,Lending Type,LendingType,M052,"Report each account in one of the following categories: 1 = Consumer Bank Card - Regular general purpose credit cards including private label or propriety credit cards; 2 = Consumer Charge Card - Consumer credit cards for which the balance is repaid in full in each billing cycle; 3 = Non Consumer Bank Card - Include small business credit card accounts and Corporate Card Employer-sponsored credit cards; 4 = Non Consumer Charge Card - Small business credit card or corporate credit card for which the balance is repaid in full in each billing cycle.",D,Mandatory,N1
10,Revolve Feature,RevolveFlag,M053,"Report whether the account has an associated revolve feature i.e. where the entire balance or part of the balance is not required to be repaid in full at the end of the billing cycle. 1 = Yes; 0 = No.",D,Mandatory,N1
11,Network ID,NetworkId,M054,"Report each account in one of the following categories: 1 = Visa; 2 = MasterCard; 3 = American Express; 4 = Discover; 5 = Other.",D,Mandatory,N1
12,Secured Credit Type,CreditCardSecuredFlag,M055,"Report whether the card is included in a program where any portion of the line is secured by collateral. 1 = Yes; 0 = No.",D,Mandatory,N1
13,Loan Source/Channel,LoanChannel,M056,"Report the source or channel by which the lender solicited or otherwise acquired the account. 0 = Take-One Other application; 1 = Pre-approved; 2 = Invitation to Apply 'ITA'; 3 = Take-One Branch application; 4 = Accounts Purchased from a 3rd Party; 5 = Other loan source known; 6 = Loan source unknown.",S,Mandatory,N1
14,Purchased Credit Deteriorated Status,PCDFlag,M234,"Report whether any loans are accounted for as purchased credit-deteriorated (PCD). If the loan is a PCD loan, this line item should be a '1'; otherwise it should be '0'.",D,Mandatory,N1
15,Cycle Ending Balance,CycleEndingBalance,M058,Report the total outstanding balance for the account at the end of the current month's cycle.,D,Mandatory,N12.2
16,Cycle Ending Balance Flag (Retired March 2018),CycleEndingBalanceFlag,M059,,,,
17,Accounts Under Promotion,PromotionFlag,M060,"Report accounts under promotion with a positive promotional balance (i.e. subject to promotional pricing) in the current month's cycle. A lower rate due to debt management would not be reported if the lower rate is permanent. Exclude accounts that have been offered or are eligible for a promotion but have not accepted the promotion. 1 = Yes; 0 = No.",D,Mandatory,N1
18,Cycle Ending Balances Mix - Promotional,CycleEndingBalancePromotional,M061,"Balances at a Promotional Rate - Report any amount outstanding priced at rates below the account's normal purchase APR at the end of the current month's cycle. Do not include balances under a workout program.",D,Mandatory,N12.2
19,Cycle Ending Balances Mix - Cash,CycleEndingBalanceCash,M062,"Balances at a Cash Advance Rate - Report any amount outstanding priced at cash advance APR at the end of the current month's cycle.",D,Mandatory,N12.2
20,Cycle Ending Balances Mix - Penalty,CycleEndingBalancePenalty,M063,"Balances Subject to Default or Penalty Pricing - Report any amount outstanding subject to default or penalty pricing due to performance at the end of the current month's cycle.",D,Mandatory,N12.2
21,Cycle Ending Balances Mix - Other,CycleEndingBalanceOther,M064,"Report all other balances outstanding at the end of the current month's cycle not included in line items 18, 19, and 20. Include balances under a workout program in this line item.",D,Mandatory,N12.2
22,Average Daily Balance (ADB),AverageDailyBalance,M065,Report the average daily balance in the reporting month or cycle.,D,Mandatory,N12.2
23,Total Reward Cash,TotalRewardCash,M066,"For accounts that offer cash, miles or other Rewards, report the total equivalent dollar amount of cash rewards accumulated as of the reporting month. Report Net Cash Reward = Cumulative earned cash - redeemed/forfeited cash. For Cards that do not offer rewards, report '0'. Do not include merchant loyalty points if housed on merchant's own system.",D,Mandatory,N12.2
24,Reward Type,RewardType,M067,"Report reward type: 1 = Cash; 2 = Miles; 3 = None; 4 = Other.",D,Mandatory,N1
25,Account Cycle Date,AccountCycleEndDate,M068,"Report the date in which transactions were accumulated for billing in the reporting month. For accounts that cycle more than one time during the reporting month report the last cycle information. Leave blank if the account does not have a statement date in the current reporting month.",D,Mandatory,Date YYYYMMDD
26,Account Origination Date,AccountOriginationDate,M069,"Report the date on which the original credit card was issued. If unknown due to acquisition or merger, leave blank. In cases where an account was closed and reopened, report the original account origination date.",S,Mandatory,Date YYYYMMDD
27,Acquisition Date,AcqDate,M070,"For accounts resulting from acquisition or merger, report the loan's acquisition or merger date. If the date of acquisition/merger is unknown report 19000101, if the loan was not acquired, report 19000102.",S,Mandatory,Date YYYYMMDD
28,Multiple Banking Relationships,MultipleBankingRelationshipFlag,M071,"Report accounts that currently have other non-credit card banking relationships with the bank. Insurance and safety box are not considered as a banking relationship. 1 = Deposit; 2 = Trust or investment account; 3 = Mortgage; 4 = Home Equity; 5 = Auto; 6 = Student Loans; 7 = Installment Loans; 8 = More than one types; 9 = Unknown; 0 = No other products or cross-sellings.",D,Mandatory,N1
29,Multiple Credit Card Relationships,MultipleCardRelationshipFlag,M072,"Report accounts where the bank has issued more than one credit card to the primary or joint account holder(s). 1 = Yes; 0 = No.",D,Mandatory,N1
30,Joint Account,JointAccount,M073,"Report whether the account has more than one primary obligor. Exclude other authorized users. 1 = Yes; 0 = No.",D,Mandatory,N1
31,Authorized Users,AuthorizedUsers,M074,"Report total number of authorized users including primary obligors. Leave blank for closed/charged off accounts with or without a balance.",D,Mandatory,N5
