Field Reference,Field Name,Description,Format
A,Section E.1 Unique Identifier,"Report the unique identifier for each row of data in the institution's FR-Y14Q data submission for Section E.1. The unique identifier should remain constant with the specified row of data in subsequent submissions, and become a permanent element of the data. The unique identifier should not include any white spaces, tabs, or special characters.",A (Alphanumeric)
B,Reference Number,"Report the unique institution-established identifier assigned to each loss event. The reference number should not include any white spaces, tabs, or special characters.",A (Alphanumeric)
C,Capture Date,"Report the date that the institution captured/recorded the loss event in its internal operational loss database. Format: MM/DD/YYYY.",Date MM/DD/YYYY
D,Occurrence Date,"Report the date that the operational loss event occurred or began. Format: MM/DD/YYYY.",Date MM/DD/YYYY
E,Discovery Date,"Report the date that the operational loss event was first discovered by the institution. The loss event's discovery date should not be earlier than its occurrence date. Format: MM/DD/YYYY.",Date MM/DD/YYYY
F,Accounting Date,"Report the date that the financial impact of the operational loss event was recorded on the institution's financial statements. The accounting date should be consistent with, and no later than, the date a legal reserve is established. Format: MM/DD/YYYY.",Date MM/DD/YYYY
G,Applicable Loss Data Collection Threshold,Report the institution-established loss data collection threshold that was applicable to the respective business line/function and in effect at the time the loss event was captured.,N (Numeric)
H,Gross Loss Amount ($USD),"Report the total financial impact of the operational loss event before any recoveries and excluding insurance and/or tax effects. The GLA should include all expenses associated with an operational loss event except for opportunity costs, forgone revenue, provision and provision write backs, and costs related to risk management and control enhancements implemented to prevent future operational losses.",N (Numeric)
I,Recovery Amount ($USD),"A recovery is an independent occurrence, related to the original loss event, separate in time, in which funds or outflows of economic benefits are received from a third party, excluding funds received from insurance providers.",N (Numeric)
J,Basel Event-Type Category: Level 1,"All loss events reported by the institution must be mapped to one of the seven Level 1 Event Types in Reference Table E.1.a. This field must contain the respective Level 1 Event-Type code (i.e., ET1-ET7).",A (Alphanumeric)
K,Basel Event-Type Category: Level 2,"If the institution categorizes loss events to the Level 2 Event-Types in Reference Table E.1.a, use the Level 2 Event-Type codes (i.e., ET11-ET76). If not applicable, insert ET00.",N (Numeric)
L,Basel Business Line Level 1,"All loss events reported must be mapped to one of the nine Level 1 Business Lines in Reference Table E.1.b. This field must contain the specific Level 1 Business Line code (i.e., BL1-BL9).",N (Numeric)
M,Basel Business Line Level 2,"If the institution categorizes loss events to the Level 2 Business Lines in Reference Table E.1.b, use the Level 2 Business Line codes (i.e., BL11-BL81). If not applicable, insert BL00.",N (Numeric)
N,Internal Business Line or Corporate Function,"Report the institution-specific business line or corporate function to which the operational loss event has been assigned. This field should contain a numeric code mapped to a unique internal business line/corporate function.",N (Numeric)
O,Acquired or Merged Entities,"If the loss event originated from an acquired or merged entity, include the name of the respective acquired or merged entity. If not, insert NA.",C (Character)
P,Is Loss Event Included in the Institution's Most Recently Reported Operational Risk Capital Estimate?,"If the institution uses a statistical model to estimate operational risk capital, enter Yes or No. If not, enter N/A.","C (Character): Y, N, or N/A"
Q,Unit of Measure,"The Unit-of-Measure (UOM) established by the institution, to which the loss has been assigned for regulatory and/or economic capital calculation purposes. Report a numeric code mapped to a unique UOM.",N (Numeric)
R,Detailed Description of Loss Event (required for events >= $250k),"For all operational loss events with gross loss amounts greater than or equal to $250 thousand, include a detailed description of the loss event.",C (Character)
