Level 1 Code,Level 1 Name,Level 2 Code,Level 2 Name,Definition
ET1,Internal Fraud,ET11,Unauthorized Activity,"Losses due to acts of a type intended to defraud, misappropriate property or circumvent regulations, the law or company policy, excluding diversity/discrimination events, which involves at least one internal party."
ET1,Internal Fraud,ET12,Theft and Fraud,
ET2,External Fraud,ET21,Theft and Fraud,"Losses due to acts of a type intended to defraud, misappropriate property or circumvent the law, by a third party."
ET2,External Fraud,ET22,Systems Security,
ET3,Employment Practices and Workplace Safety,ET31,Employee Relations,"Losses arising from acts inconsistent with employment, health or safety laws or agreements, from payment of personal injury claims, or from diversity/discrimination events."
ET3,Employment Practices and Workplace Safety,ET32,Safe Environment,
ET3,Employment Practices and Workplace Safety,ET33,Diversity & Discrimination,
ET4,Clients Products & Business Practices,ET41,Suitability Disclosure & Fiduciary,"Losses arising from an unintentional or negligent failure to meet a professional obligation to specific clients (including fiduciary and suitability requirements), or from the nature or design of a product."
ET4,Clients Products & Business Practices,ET42,Improper Business or Market Practices,
ET4,Clients Products & Business Practices,ET43,Product Flaws,
ET4,Clients Products & Business Practices,ET44,Selection Sponsorship & Exposure,
ET4,Clients Products & Business Practices,ET45,Advisory Activities,
ET5,Damage to Physical Assets,ET51,Disasters and other events,"Losses arising from loss or damage to physical assets from a natural disaster or other events."
ET6,Business Disruption and System Failures,ET61,Systems,"Losses arising from disruption of business or system failures."
ET7,Execution Delivery and Process Management,ET71,Transaction Capture Execution and Maintenance,"Losses from failed transaction processing or process management, from relations with trade counterparties and vendors."
ET7,Execution Delivery and Process Management,ET72,Monitoring and Reporting,
ET7,Execution Delivery and Process Management,ET73,Customer Intake and Documentation,
ET7,Execution Delivery and Process Management,ET74,Customer/Client Account Management,
ET7,Execution Delivery and Process Management,ET75,Trade Counterparties,
ET7,Execution Delivery and Process Management,ET76,Vendors & Suppliers,
,,ET00,Not Applicable,
