Table: Regulatory Capital Metrics - JPMorgan Chase Bank N.A.
"As of March 31, 2024 (in millions, except ratios)",Basel III Advanced CECL Transitional,Basel III Advanced CECL Fully Phased-In
Risk-based capital metrics:,,
CET1 capital,268040,267311
Tier 1 capital,268043,267315
Total capital,274549,273825
Risk-weighted assets,1540501,1540402
CET1 capital ratio,17.4%,17.4%
Tier 1 capital ratio,17.4%,17.4%
Total capital ratio,17.8%,17.8%
Leverage-based capital metrics:,,
"Adjusted average assets (b)",3372219,3371491
Tier 1 leverage ratio,7.9%,7.9%
Total leverage exposure,4088591,4087862
SLR,6.6%,6.5%
