Table: Supplementary Leverage Ratio Components
"March 31, 2024 (in millions, except ratios)",Basel III Advanced CECL Transitional
Basel III Advanced Tier 1 capital,280771
Total spot assets,4090727
"Add: Adjustments for frequency of calculations (a)",-122090
Total average assets,3968637
"Less: Adjustments for deductions from Tier 1 capital (b)",55680
"Add: Adjustment for derivative transactions",273723
"Add: Adjustment for repo-style transactions",42308
"Add: Off-balance sheet exposures (c)",404926
"Add: Other (d)",720
Total leverage exposure,4634634
Basel III Advanced SLR,6.1%
