Credit Risk Exposures by Product Type and Geographic Region,,,,,,,,,,,,
,At December 31 2024,,,,,,,,,,,,
$ in millions,Americas,,Europe Middle East and Africa,,Asia,,Netting,,Total,,Quarterly Average,
Product Type,,,,,,,,,,,,
Cash (note 2),$,"63,704",$,"26,199",$,"15,483",$,--,$,"105,386",$,"99,758"
Derivative and other contracts (note 3),,"181,737",,"125,714",,"30,840",,"(299,722)",,"38,569",,"39,055"
Investment securities,,"159,679",,--,,--,,--,,"159,679",,"160,084"
Securities financing transactions (notes 3 4),,"452,770",,"80,697",,"41,810",,"(332,853)",,"242,424",,"252,954"
Loans (note 5),,"274,860",,"21,564",,"6,361",,--,,"302,785",,"297,986"
Other (note 6),,"44,213",,"11,289",,"6,675",,--,,"62,177",,"66,276"
Total on-balance sheet,$,"1,176,963",$,"265,463",$,"101,169",$,"(632,575)",$,"911,020",$,"916,113"
Commitments (note 7),$,"216,935",$,"88,632",$,"15,800",$,--,$,"321,367",$,"325,674"
Guarantees (note 8),,"9,112",,"97",,"3",,--,,"9,212",,"9,195"
Total off-balance sheet,$,"226,047",$,"88,729",$,"15,803",$,--,$,"330,579",$,"334,869"
