Remaining Contractual Maturity Breakdown by Product Type,,,,,,,,,,,
,At December 31 2024,,,,,,,,,,
,Years to Maturity,,,,,,,,,,
$ in millions,Less than 1,,1-5,,Over 5,,Netting,,Total,
Product Type,,,,,,,,,,,
Cash (note 2),$,"105,386",$,--,$,--,$,--,$,"105,386"
Derivative and other contracts (note 3),,"132,883",,"92,558",,"112,850",,"(299,722)",,"38,569"
Investment securities,,"24,357",,"62,339",,"72,983",,--,,"159,679"
Securities financing transactions (notes 3 4),,"575,206",,"71",,--,,"(332,853)",,"242,424"
Loans (note 5),,"164,709",,"60,464",,"77,612",,--,,"302,785"
Other (note 6),,"29,783",,"14,579",,"17,815",,--,,"62,177"
Total on-balance sheet,$,"1,032,324",$,"230,011",$,"281,260",$,"(632,575)",$,"911,020"
Commitments (note 7),$,"164,360",$,"125,156",$,"31,851",$,--,$,"321,367"
Guarantees (note 8),,"4,868",,"1,764",,"2,580",,--,,"9,212"
Total off-balance sheet,$,"169,228",$,"126,920",$,"34,431",$,--,$,"330,579"
