Distribution of Exposures by Product Type and Counterparty or Industry Type,,,,,,,,,,,,
,At December 31 2024,,,,,,,,,,,,
,Wholesale (note 9),,,,,,,,,,,,
$ in millions,Bank (note 10),,Sovereign,,Corporate and Other (note 11),,Retail,,Netting,,Total,
Product Type,,,,,,,,,,,,
Cash (note 2),$,"20,110",$,"60,930",$,"24,346",$,--,$,--,$,"105,386"
Derivative and other contracts (note 3),,"68,852",,"9,706",,"259,733",,--,,"(299,722)",,"38,569"
Investment securities,,--,,"156,842",,"2,837",,--,,--,,"159,679"
Securities financing transactions (notes 3 4),,"25,741",,"26,007",,"523,529",,--,,"(332,853)",,"242,424"
Loans (note 5),,"18",,--,,"138,017",,"164,750",,--,,"302,785"
Other (note 6),,"30",,"9,762",,"52,385",,--,,--,,"62,177"
Total on-balance sheet,$,"114,751",$,"263,247",$,"1,000,847",$,"164,750",$,"(632,575)",$,"911,020"
Commitments (note 7),$,"50,652",$,--,$,"258,869",$,"11,846",$,--,$,"321,367"
Guarantees (note 8),,--,,--,,"9,212",,--,,--,,"9,212"
Total off-balance sheet,$,"50,652",$,--,$,"268,081",$,"11,846",$,--,$,"330,579"
