Disclosure Map,,For the quarterly period ended December 31 2024,,
Disclosure starts on page number,Description,Form 10-K,Pillar 3 Report,
Basel III Pillar 3 Requirement,,,,
Scope of Application,Business,,1,
,Regulatory capital framework,49,1,
Capital Structure,Capital instruments,"105,106,121,131",2,
,Restrictions and other major impediments to transfer of funds or capital,,2,
,Capital structure,49,2,
Capital Adequacy,Required capital framework,49,2,
,"Credit risk, market risk and operational risk RWA",62,3,
,"Risk management objectives, structure and policies",,4,
,Minimum risk-based capital ratio,51,4,
,Total Loss-Absorbing Capacity,53,5,
Credit Risk,Credit risk and credit risk management framework,62,5,
,Risk governance structure,,5,
,Master netting agreements and collateral agreements,"105,110",6,
,Commitments,121,6,
,Guarantees,121,6,
,Reconciliation of changes in allowance for loan losses,116,8,
,Credit quality indicator,114,8,
,Determination of past due or delinquency status,,8,
"General Disclosure for Wholesale Counterparty Credit Risk of Derivative Contracts, Repo-Style Transactions and Margin Lending",Use of collateral as a credit risk mitigants and master netting agreements,"105,110",11,
,Valuation approaches,,12,
,Credit derivatives,105,12,
,Additional collateral requirements due to credit rating downgrade,107,12,
Credit Risk Mitigation,Impact of netting on the Firm's credit exposures,68,13,
Equities Not Subject to Market Risk Capital Rule,Valuation techniques related to investments,,14,
,Deductions under the Volcker Rule,,15,
Securitization,Securitization transactions,127,15,
,Accounting and valuation techniques related to securitization,127,16,
Interest Rate Risk for Non-Trading Activities,Interest rate risk sensitivity analysis on non-trading activities,62,19,
Market Risk,Market risk RWA,52,19,
,"Management VaR model, related statistics and limit monitoring process",61,20,
,Daily net trading revenues,61,22,
,Primary market risk exposures and market risk management,58,22,
,"Valuation policies, procedures and methodologies for covered positions",,22,
,Stress testing and Regulatory Stressed VaR,53,23,
Operational Risk,Operational Risk,15,23,
Supplementary Leverage Ratio,Supplementary Leverage Ratio,50,24,
