Internal Ratings System Exposures,,,,,,,,,,,,,,
,At December 31 2024,,,,,,,,,,,,,,
$ in millions,PD Band (%),Average PD (%) (note 1),Average LGD % (notes 1 2),Undrawn Commitment,,EAD (note 2),,Average Counterparty EAD (note 3),,Average risk weight (%),
Subcategory,,,,,,,,,,,
Wholesale Exposures,"0.00 <= PD < 0.35",0.06%,41.94%,$,"112,184",$,"427,880",$,"28,780",20.00%
,"0.35 <= PD < 1.35",0.76%,43.20%,,"18,957",,"43,439",,"194",83.12%
,"1.35 <= PD < 10.00",4.80%,43.52%,,"19,556",,"27,928",,"168",154.90%
,"10.00 <= PD < 100.00",28.11%,44.27%,,"1,191",,"6,789",,"1,270",268.16%
,"100 (Default)",100.00%,N/A,,"391",,"2,337",,"86",106.00%
,Sub-total,,,$,"152,279",$,"508,373",$,"30,498",
Residential Mortgages,"0.00 <= PD < 0.15",0.12%,15.84%,$,--,$,"68,739",$,"2",4.59%
,"0.15 <= PD < 0.35",0.34%,81.67%,,"252",,"391",,"2",51.26%
,"0.35 <= PD < 1.35",0.42%,23.72%,,"107",,"635",,"1",19.17%
,"1.35 <= PD < 10.00",6.29%,27.54%,,"2",,"222",,"2",96.83%
,"10.00 <= PD < 100.00",47.02%,27.25%,,"1",,"95",,"1",139.55%
,"100 (Default)",100.00%,N/A,,--,,"217",,"1",106.00%
,Sub-total,,,$,"362",$,"70,299",$,"9",
Other Retail Exposures,"0.00 <= PD < 1.50",1.09%,61.37%,$,--,$,"92",$,"16",87.66%
,"1.50 <= PD < 3.00",2.14%,74.52%,,--,,"42",,"24",159.98%
,"3.00 <= PD < 5.00",4.72%,45.46%,,--,,"72",,"36",154.68%
,"5.00 <= PD < 8.00",6.23%,53.87%,,--,,"4,254",,"2",86.42%
,"8.00 <= PD < 100.00",8.24%,100.00%,,--,,"607",,"232",228.32%
,"100 (Default)",100.00%,N/A,,--,,"162",,"2",106.00%
,Sub-total,,,$,--,$,"5,229",$,"312",
Total,,,,$,"152,641",$,"583,901",$,"30,819",
,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,
"1. Amounts reflect the effect of eligible guarantees and eligible credit derivatives.",,,,,,,,,,,,,,
"2. Under U.S. Basel III, credit risk mitigation in the form of collateral may be applied by either reducing EAD or adjusting the LGD, and the approach must be applied consistently by product type.",,,,,,,,,,,,,,
"3. Amounts represent the weighted average EAD per counterparty within the respective PD band, weighted by its pro rata EAD contribution.",,,,,,,,,,,,,,
