Product Type,Americas ($ millions),Europe Middle East and Africa ($ millions),Asia ($ millions),Netting ($ millions),Total ($ millions),Quarterly Average ($ millions)
Cash,56477,30514,16743,0,103734,101573
Derivative and other contracts,197808,125708,26484,-312559,37441,38146
Investment securities,163532,0,0,0,163532,166501
Securities financing transactions,524136,112494,43901,-439684,240847,252103
Loans,310510,28833,8074,0,347417,343518
Other,44438,13955,10420,0,68813,65228
Total on-balance sheet,1296901,311504,105622,-752243,961784,967069
Commitments,217275,124939,19476,0,361690,386399
Guarantees,11041,297,4,0,11342,11135
Total off-balance sheet,228316,125236,19480,0,373032,397534
