Item,Amount ($ millions)
Total consolidated assets as reported in published financial statements,1364806
Adjustment for investments in banking/financial/insurance/commercial entities consolidated for accounting but outside regulatory scope,0
Adjustment for fiduciary assets recognized on balance sheet but excluded from total leverage exposure,0
Adjustment for derivative exposures,156187
Adjustment for repo-style transactions,20527
Adjustment for off-balance sheet exposures,117928
Other adjustments: Adjustments for deductions from tier 1 capital,-22321
Other adjustments: Adjustments for frequency calculations,22858
Other adjustments: Adjustments for deductions of qualifying central bank deposits for custodial banking organizations,
Supplementary leverage exposure,1659985
