Category,Item,Amount ($ millions)
On-balance sheet exposures,On-balance sheet assets (excl. repo-style and derivative exposures; incl. cash collateral received in derivative transactions),1072824
On-balance sheet exposures,Less: Amounts deducted from tier 1 capital,-22321
On-balance sheet exposures,Less: Deduction of qualifying central bank deposits for custodial banking organizations,
On-balance sheet exposures,Total on-balance sheet exposures,1050503
Derivative disclosures,Replacement cost for derivative exposures (net of cash variation margin),71422
Derivative disclosures,Add-on amounts for potential future exposure (PFE) for derivatives,155481
Derivative disclosures,Gross-up for cash collateral posted if deducted from on-balance sheet assets (excl. qualifying cash variation margin),1062
Derivative disclosures,Less: Deductions of receivable assets for cash variation margin posted in derivative transactions,0
Derivative disclosures,Less: Exempted CCP leg of client-cleared transactions,-23114
Derivative disclosures,Effective notional principal amount of sold credit protection,378212
Derivative disclosures,Less: Effective notional principal amount offsets and PFE adjustments for sold credit protection,-364138
Derivative disclosures,Total derivatives exposures,218925
Repo-style transactions,On-balance sheet assets for repo-style transactions,648562
Repo-style transactions,Less: Reduction of gross value of receivables in reverse repo by cash payables in repo under netting agreements,-396460
Repo-style transactions,Counterparty credit risk for all repo-style transactions,20527
Repo-style transactions,Exposure for repo-style transactions where banking organization acts as agent,0
Repo-style transactions,Total repo-style transactions,272629
Other off-balance sheet exposures,Off-balance sheet exposures at gross notional amounts,244523
Other off-balance sheet exposures,Less: Adjustments for conversion to credit equivalent amounts,-126595
Other off-balance sheet exposures,Total off-balance sheet exposures,117928
Summary,Supplementary leverage exposure,1659985
Summary,Tier 1 capital,91036
Summary,Supplementary leverage ratio,5.5%
Summary,Tier 1 leverage ratio,6.8%
