Table 7: Net Loan Charge-Offs,,,,,,
(in millions),,,,Quarter ended,
,Jun 30 2024,Mar 31 2024,Dec 31 2023,Sep 30 2023,Jun 30 2023
Commercial (Wholesale) loans:,,,,,
Commercial and industrial,$188,$148,$90,$93,$119
Commercial real estate,$271,$187,$377,$93,$79
Real estate construction,--,--,--,--,--
Lease financing,$9,$6,$5,$2,$2
Total commercial (Wholesale),$468,$341,$472,$188,$200
Consumer (Retail) loans:,,,,,
Residential mortgage,$-19,$-13,$3,$-4,$-12
Credit card,$649,$577,$520,$420,$396
Auto,$79,$112,$130,$138,$89
Other consumer,$124,$132,$127,$108,$91
Total consumer (Retail),$833,$808,$780,$662,$564
Total,$1301,$1149,$1252,$850,$764
