2024 Annual Report,Page Reference
Management's Discussion and Analysis,
Off-Balance Sheet Arrangements,27
Risk Management,28-48
Risk Governance,28-29
Risk Operating Model - Roles and Responsibilities,29-30
Operational Risk Management,30-31
Model Risk Management,31
Credit Risk Management,32-42
Asset/Liability Management,43-48
Interest Rate Risk,43-44
Market Risk,44
Market Risk - Trading Activities,45
Market Risk - Equity Securities,45-46
Capital Management,49-55
Total Loss Absorbing Capacity,54
Capital Planning and Stress Testing,54-55
Regulation and Supervision,55
Forward-Looking Statements,61-62
Risk Factors,63-76
"Table 3 - Average Balances, Yields and Rates Paid (Taxable-Equivalent Basis)",7
Table 12 - Loan Maturities,25
Table 18 - Commercial and Industrial Loans and Lease Financing by Industry,33
Table 19 - CRE Loans by State and Property Type,34
Table 20 - Select Country Exposures,36
Table 21 - Residential Mortgage Loans,37
Table 23 - Nonperforming Assets (Nonaccrual Loans and Foreclosed Assets),38
Table 24 - Analysis of Changes in Nonaccrual Loans,39
Table 25 - Net Loan Charge-offs,40
Table 26 - Allocation of the ACL for Loans,41
Table 28 - Net Interest Income Sensitivity,43
Table 36 - Capital Components and Ratios,50
Table 42 - Leverage Ratios for the Company,54
Notes to Consolidated Financial Statements,
Note 1 - Summary of Significant Accounting Policies,84-95
Note 3 - Available-for-Sale and Held-to-Maturity Debt Securities,97-102
Note 4 - Equity Securities,103-104
Note 5 - Loans and Related Allowance for Credit Losses,105-119
Note 5 - Table 5.5 Allowance for Credit Losses for Loans,107
Note 5 - Table 5.14 Loans 90 Days or More Past Due and Still Accruing,115
Note 11 - Preferred Stock,127
Note 12 - Common Stock and Stock Plans,128-129
Note 14 - Derivatives,132-137
Note 16 - Securitizations and Variable Interest Entities,148-153
Note 17 - Guarantees and Other Commitments,154-156
Note 18 - Securities Financing Activities,157-158
Note 19 - Pledged Assets and Collateral,159
Note 26 - Regulatory Capital Requirements and Other Restrictions,175-176
