Table 3: Total Regulatory Capital Base,March 31 2025
(in millions),Risk-Based Capital
"Common stock plus related surplus, net of treasury stock",-44780
Retained earnings,217405
Accumulated other comprehensive income (AOCI),-9998
CET1 before regulatory adjustments and deductions,162627
"Less: Goodwill (net of associated deferred taxes)",24785
"Other (includes intangibles, net gain/loss on cash flow hedges)",2265
Total adjustments and deductions for CET1 capital,27050
CET1 capital,135577
Additional Tier 1 capital instruments plus related surplus,18463
Less: Total additional Tier 1 capital deductions,185
Additional Tier 1 capital,18278
Tier 1 capital,153855
Tier 2 capital before regulatory adjustments and deductions,21947
Less: Total Tier 2 capital deductions,443
Tier 2 capital,21504
Total capital,175359
