Table 13: Securitized and Resecuritized Exposures by Risk Weights and Approach,March 31 2025,,,,,,,
(in millions),SFA - EAD,SFA - RWAs,SSFA - EAD,SSFA - RWAs,1250% RW - EAD,1250% RW - RWAs,Total - EAD,Total - RWAs
Securitizations:,,,,,,,,,
0% to <=20%,87074,18399,54427,11326,—,-1,141501,29724
>20% to <=50%,1848,540,6415,2432,—,—,8263,2972
>50% to <=100%,424,373,1119,717,—,—,1543,1090
>100% to <1250%,4,14,26,39,—,—,30,53
Equal to 1250%,—,—,—,—,5,62,5,62
Total Securitizations,89350,19326,61987,14514,5,61,151342,33901
Resecuritizations:,,,,,,,,,
0% to <=20%,—,—,351,75,—,—,351,75
>20% to <=50%,—,—,—,—,—,—,—,—
>50% to <=100%,—,—,8,8,—,—,8,8
>100% to <1250%,—,—,—,—,—,—,—,—
Equal to 1250%,—,—,—,—,—,—,—,—
Total Resecuritizations,—,—,359,83,—,—,359,83
Total Securitizations and Resecuritizations,89350,19326,62346,14597,5,61,151701,33984
