Schedule I - Wholesale Exposure: Eligible Margin Loans and Repo-Style Transactions with No Cross-Product Netting - MDRM Grid,,,,,,,,,,,,,
,Exposures with EAD Adjustment,,,,,,Exposures Where Collateral Is Reflected in LGD,,,,,,
PD Range,Col A: Wtd-Avg PD,Col B: Wtd-Avg Maturity (Yrs),Col C: EAD,Col D: Wtd-Avg LGD,Col E: RWA,Col F: Expected Credit Loss,Col G: Wtd-Avg PD,Col H: Wtd-Avg Maturity (Yrs),Col I: EAD,Col J: Wtd-Avg LGD,Col K: RWA,Col L: Expected Credit Loss
1. 0.00 to < 0.03,AAIA J001,AAIB J001,AAIC J001,AAID J001,AAIE J001,AAIF J001,AAIG J001,AAIH J001,AAII J001,AAIJ J001,AAIK J001,AAIL J001
2. 0.03 to < 0.10,AAIA J003,AAIB J003,AAIC J003,AAID J003,AAIE J003,AAIF J003,AAIG J003,AAIH J003,AAII J003,AAIJ J003,AAIK J003,AAIL J003
3. 0.10 to < 0.15,AAIA J006,AAIB J006,AAIC J006,AAID J006,AAIE J006,AAIF J006,AAIG J006,AAIH J006,AAII J006,AAIJ J006,AAIK J006,AAIL J006
4. 0.15 to < 0.25,AAIA J008,AAIB J008,AAIC J008,AAID J008,AAIE J008,AAIF J008,AAIG J008,AAIH J008,AAII J008,AAIJ J008,AAIK J008,AAIL J008
5. 0.25 to < 0.50,AAIA J012,AAIB J012,AAIC J012,AAID J012,AAIE J012,AAIF J012,AAIG J012,AAIH J012,AAII J012,AAIJ J012,AAIK J012,AAIL J012
6. 0.50 to < 0.75,AAIA J014,AAIB J014,AAIC J014,AAID J014,AAIE J014,AAIF J014,AAIG J014,AAIH J014,AAII J014,AAIJ J014,AAIK J014,AAIL J014
7. 0.75 to < 1.35,AAIA J016,AAIB J016,AAIC J016,AAID J016,AAIE J016,AAIF J016,AAIG J016,AAIH J016,AAII J016,AAIJ J016,AAIK J016,AAIL J016
8. 1.35 to < 2.50,AAIA J019,AAIB J019,AAIC J019,AAID J019,AAIE J019,AAIF J019,AAIG J019,AAIH J019,AAII J019,AAIJ J019,AAIK J019,AAIL J019
9. 2.50 to < 5.50,AAIA J025,AAIB J025,AAIC J025,AAID J025,AAIE J025,AAIF J025,AAIG J025,AAIH J025,AAII J025,AAIJ J025,AAIK J025,AAIL J025
10. 5.50 to < 10.00,AAIA J029,AAIB J029,AAIC J029,AAID J029,AAIE J029,AAIF J029,AAIG J029,AAIH J029,AAII J029,AAIJ J029,AAIK J029,AAIL J029
11. 10.00 to < 100,AAIA J032,AAIB J032,AAIC J032,AAID J032,AAIE J032,AAIF J032,AAIG J032,AAIH J032,AAII J032,AAIJ J032,AAIK J032,AAIL J032
12. 100.00 (default),AAIA J034,AAIB J034,AAIC J034,AAID J034,AAIE J034,AAIF J034,AAIG J034,AAIH J034,AAII J034,AAIJ J034,AAIK J034,AAIL J034
13. Eligible margin loans at 300% risk weight,,,AAIC J037,,AAIE J037,,,,,,,,
14. Total (calculated),AAIA J035,AAIB J035,AAIC J035,AAID J035,AAIE J035,AAIF J035,AAIG J035,AAIH J035,AAII J035,AAIJ J035,AAIK J035,AAIL J035
Memoranda,,,,,,,,,,,,,
M.1 EAD Adjustment Method (% of line 14 col C),,,AAIX J038 (Collateral Haircut),,,,,,AAIX J039 (Simple VaR),,AAIX J040 (Internal Models),,
