Schedule N - Retail Exposure: Qualifying Revolving Exposures - MDRM Grid,,,,,,,,,,
PD Range,Col A: Wtd-Avg PD,Col B: Num Exposures,Col C: Total Bal Sheet,Col D: Total Undrawn,Col E: EAD,Col F: EAD <2 Yrs Old,Col G: Wtd-Avg LGD,Col H: RWA,Col I: Expected Credit Loss,Col J: Wtd-Avg Bureau Score
1. 0.00 to < 0.50,AANA J011,AANB J011,AANC J011,AAND J011,AANE J011,AANF J011,AANG J011,AANH J011,AANI J011,AANJ J011
2. 0.50 to < 1.00,AANA J015,AANB J015,AANC J015,AAND J015,AANE J015,AANF J015,AANG J015,AANH J015,AANI J015,AANJ J015
3. 1.00 to < 1.50,AANA J017,AANB J017,AANC J017,AAND J017,AANE J017,AANF J017,AANG J017,AANH J017,AANI J017,AANJ J017
4. 1.50 to < 2.00,AANA J018,AANB J018,AANC J018,AAND J018,AANE J018,AANF J018,AANG J018,AANH J018,AANI J018,AANJ J018
5. 2.00 to < 2.50,AANA J020,AANB J020,AANC J020,AAND J020,AANE J020,AANF J020,AANG J020,AANH J020,AANI J020,AANJ J020
6. 2.50 to < 3.00,AANA J021,AANB J021,AANC J021,AAND J021,AANE J021,AANF J021,AANG J021,AANH J021,AANI J021,AANJ J021
7. 3.00 to < 3.50,AANA J022,AANB J022,AANC J022,AAND J022,AANE J022,AANF J022,AANG J022,AANH J022,AANI J022,AANJ J022
8. 3.50 to < 4.00,AANA J023,AANB J023,AANC J023,AAND J023,AANE J023,AANF J023,AANG J023,AANH J023,AANI J023,AANJ J023
9. 4.00 to < 5.00,AANA J024,AANB J024,AANC J024,AAND J024,AANE J024,AANF J024,AANG J024,AANH J024,AANI J024,AANJ J024
10. 5.00 to < 6.00,AANA J026,AANB J026,AANC J026,AAND J026,AANE J026,AANF J026,AANG J026,AANH J026,AANI J026,AANJ J026
11. 6.00 to < 7.00,AANA J027,AANB J027,AANC J027,AAND J027,AANE J027,AANF J027,AANG J027,AANH J027,AANI J027,AANJ J027
12. 7.00 to < 8.00,AANA J028,AANB J028,AANC J028,AAND J028,AANE J028,AANF J028,AANG J028,AANH J028,AANI J028,AANJ J028
13. 8.00 to < 10.00,AANA J030,AANB J030,AANC J030,AAND J030,AANE J030,AANF J030,AANG J030,AANH J030,AANI J030,AANJ J030
14. 10.00 to < 100,AANA J032,AANB J032,AANC J032,AAND J032,AANE J032,AANF J032,AANG J032,AANH J032,AANI J032,AANJ J032
15. 100.00 (default),AANA J034,AANB J034,AANC J034,AAND J034,AANE J034,AANF J034,AANG J034,AANH J034,AANI J034,AANJ J034
16. Total (calculated),AANA J035,AANB J035,AANC J035,AAND J035,AANE J035,AANF J035,AANG J035,AANH J035,AANI J035,AANJ J035
Memoranda,,,,,,,,,,
M.1 Non-material portfolios RWA,,,,,,,,AANX J036,,
M.2 Credit scoring system(s),,,,,,,,,,AANX J041
