Foreign Activities (Dollar Amount in Thousands),09/30/2025,09/30/2024,12/31/2024,12/31/2023,12/31/2022
Total foreign loans and leases,54841000,45460000,41860000,42299000,45033000
Real estate loans,6111000,3591000,3322000,2553000,3294000
Commercial and industrial loans,15338000,15475000,14148000,15383000,19824000
Loans to depository institutions and other banks acceptances,1427000,667000,1186000,195000,185000
Loans to foreign governments and institutions,22000,22000,22000,33000,722000
Loans to individuals,325000,284000,266000,229000,564000
Agricultural loans,72000,49000,46000,49000,0
Other foreign loans,31546000,25371000,22869000,23857000,20444000
Lease financing receivables,0,1000,1000,0,0
Debt securities,7555000,5129000,4866000,2769000,2176000
Interest-bearing bank balances,69692000,64150000,66354000,120726000,63818000
Total selected foreign assets,132088000,114739000,113080000,165794000,111027000
Total foreign deposits,118023000,99754000,90960000,94869000,72875000
Interest-bearing deposits,117389000,99513000,90718000,94561000,72355000
Non-interest-bearing deposits,634000,241000,242000,308000,520000
Analysis Ratios (BHC values),,,,,,
Yield: Foreign loans,9.65,12.83,12.46,11.46,4.44
Cost: Interest-bearing deposits,3.77,4.77,4.67,4.05,1.15
Net Losses as Percent of Foreign Loans by Type,,,,,,
Real estate loans,0.05,,0.08,,0.24
Commercial and industrial loans,0.31,,0.83,,0.84
Foreign governments and institutions,0,0,0,0,0
Growth Rates,,,,,,
Net loans and leases,20.64,3.76,-1.04,-6.07,-10.78
Total selected assets,15.12,-23.44,-31.79,49.33,-35.80
Deposits,18.31,11.48,-4.12,30.18,-9.47
