Schedule,Item,Description,MDRM_ColA_Loans,MDRM_ColB_HTM,MDRM_ColC_AFS
HI-B-II,1.,Balance most recently reported at end of previous year,BHCK B522,BHCK JH88,BHCK JH94
HI-B-II,2.,Recoveries,BHCT 4605,BHCK JH89,BHCK JH95
HI-B-II,3.,LESS: Charge-offs,BHCK C079,BHCK JH92,BHCK JH98
HI-B-II,4.,LESS: Write-downs arising from transfers of financial assets,BHCK 5523,BHCK JJ00,BHCK JJ01
HI-B-II,5.,Provisions for credit losses,BHCK 4230,BHCK JH90,BHCK JH96
HI-B-II,6.,Adjustments,BHCK C233,BHCK JH91,BHCK JH97
HI-B-II,7.,Balance end of current period,BHCT 3123,BHCK JH93,BHCK JH99
HI-B-II-Memo,M.1.,Allocated transfer risk reserve,BHCK C435,,
HI-B-II-Memo,M.2.,Separate valuation allowance for uncollectible retail credit card fees and finance charges,BHCK C389,,
HI-B-II-Memo,M.3.,Amount of allowance for credit losses attributable to retail credit card fees and finance charges,BHCK C390,,
HI-B-II-Memo,M.5.,Provisions for credit losses on other financial assets measured at amortized cost,BHCK JJ02,,
HI-B-II-Memo,M.6.,Allowance for credit losses on other financial assets measured at amortized cost,BHCK JJ03,,
HI-B-II-Memo,M.7.,Provisions for credit losses on off-balance-sheet credit exposures,BHCK MG93,,
HI-B-II-Memo,M.8.,Estimated amount of expected recoveries of amounts previously written off,BHCK MG94,,
