Schedule,Item,Description,MDRM_AmortizedCost,MDRM_AllowanceBalance
HI-C,1.a.,Construction loans,BHCK JJ04,BHCK JJ12
HI-C,1.b.,Commercial real estate loans,BHCK JJ05,BHCK JJ13
HI-C,1.c.,Residential real estate loans,BHCK JJ06,BHCK JJ14
HI-C,2.,Commercial loans,BHCK JJ07,BHCK JJ15
HI-C,3.,Credit cards,BHCK JJ08,BHCK JJ16
HI-C,4.,Other consumer loans,BHCK JJ09,BHCK JJ17
HI-C,5.,Unallocated if any,,BHCK JJ18
HI-C,6.,Total (sum of items 1.a through 5),BHCK JJ11,BHCK JJ19
HI-C-HTM,7.,Securities issued by states and political subdivisions in the U.S.,,BHCK JJ20
HI-C-HTM,8.,Total mortgage-backed securities (MBS),,BHCK JJ21
HI-C-HTM,9.,Asset-backed securities and structured financial products,,BHCK JJ23
HI-C-HTM,10.,Other debt securities,,BHCK JJ24
HI-C-HTM,11.,Total (sum of items 7 through 10),,BHCK JJ25
