Schedule,Item,Description,MDRM
HC-E,1.a.,Deposits in commercial bank subsidiaries: Noninterest-bearing balances,BHCB 2210
HC-E,1.b.,Deposits in commercial bank subsidiaries: Interest-bearing demand deposits NOW ATS,BHCB 3187
HC-E,1.c.,Deposits in commercial bank subsidiaries: Money market and other savings accounts,BHCB 2389
HC-E,1.d.,Deposits in commercial bank subsidiaries: Time deposits of $250000 or less,BHCB HK29
HC-E,1.e.,Deposits in commercial bank subsidiaries: Time deposits of more than $250000,BHCB J474
HC-E,2.a.,Deposits in other depository institutions: Noninterest-bearing balances,BHOD 3189
HC-E,2.b.,Deposits in other depository institutions: Interest-bearing demand deposits NOW ATS,BHOD 3187
HC-E,2.c.,Deposits in other depository institutions: Money market and other savings accounts,BHOD 2389
HC-E,2.d.,Deposits in other depository institutions: Time deposits of $250000 or less,BHOD HK29
HC-E,2.e.,Deposits in other depository institutions: Time deposits of more than $250000,BHOD J474
HC-E-Memo,M.1.,Brokered deposits $250000 or less with remaining maturity of one year or less,BHDM HK06
HC-E-Memo,M.2.,Brokered deposits $250000 or less with remaining maturity of more than one year,BHDM HK31
HC-E-Memo,M.3.,Time deposits of more than $250000 with remaining maturity of one year or less,BHDM HK32
HC-E-Memo,M.4.,Foreign office time deposits with remaining maturity of one year or less,BHFN A245
