Schedule,Item,Description,MDRM_InterestRate,MDRM_ForeignExchange,MDRM_EquityDerivative,MDRM_CommodityOther
HC-L,11.a.,Futures contracts,BHCK 8693,BHCK 8694,BHCK 8695,BHCK 8696
HC-L,11.b.,Forward contracts,BHCK 8697,BHCK 8698,BHCK 8699,BHCK 8700
HC-L,11.c.(1),Exchange-traded option contracts: Written options,BHCK 8701,BHCK 8702,BHCK 8703,BHCK 8704
HC-L,11.c.(2),Exchange-traded option contracts: Purchased options,BHCK 8705,BHCK 8706,BHCK 8707,BHCK 8708
HC-L,11.d.(1),Over-the-counter option contracts: Written options,BHCK 8709,BHCK 8710,BHCK 8711,BHCK 8712
HC-L,11.d.(2),Over-the-counter option contracts: Purchased options,BHCK 8713,BHCK 8714,BHCK 8715,BHCK 8716
HC-L,11.e.,Swaps,BHCK 3450,BHCK 3826,BHCK 8719,BHCK 8720
HC-L,12.,Total gross notional: Held for trading,BHCK A126,BHCK A127,BHCK 8723,BHCK 8724
HC-L,13.,Total gross notional: Held for purposes other than trading,BHCK 8725,BHCK 8726,BHCK 8727,BHCK 8728
HC-L,14.a.(1),Gross fair values: Trading contracts positive,BHCK 8733,BHCK 8734,BHCK 8735,BHCK 8736
HC-L,14.a.(2),Gross fair values: Trading contracts negative,BHCK 8737,BHCK 8738,BHCK 8739,BHCK 8740
HC-L,14.b.(1),Gross fair values: Non-trading contracts positive,BHCK 8741,BHCK 8742,BHCK 8743,BHCK 8744
HC-L,14.b.(2),Gross fair values: Non-trading contracts negative,BHCK 8745,BHCK 8746,BHCK 8747,BHCK 8748
