Schedule,Item,Description,MDRM_PastDue30to89,MDRM_PastDue90plus,MDRM_Nonaccrual
HC-N-Memo,M.1.a.(1),Loan mods: 1-4 family residential construction loans,BHDM K105,BHDM K106,BHDM K107
HC-N-Memo,M.1.a.(2),Loan mods: Other construction and land development loans,BHDM K108,BHDM K109,BHDM K110
HC-N-Memo,M.1.b.,Loan mods: 1-4 family residential properties in domestic offices,BHCK F661,BHCK F662,BHCK F663
HC-N-Memo,M.1.c.,Loan mods: Multifamily (5+) residential properties,BHDM K111,BHDM K112,BHDM K113
HC-N-Memo,M.1.d.(1),Loan mods: Owner-occupied nonfarm nonresidential properties,BHDM K114,BHDM K115,BHDM K116
HC-N-Memo,M.1.d.(2),Loan mods: Other nonfarm nonresidential properties,BHDM K117,BHDM K118,BHDM K119
HC-N-Memo,M.1.e.(1),Loan mods: C&I to U.S. addressees,BHCK K120,BHCK K121,BHCK K122
HC-N-Memo,M.1.e.(2),Loan mods: C&I to non-U.S. addressees,BHCK K123,BHCK K124,BHCK K125
HC-N-Memo,M.1.e.(3),Loan mods: C&I to U.S. and non-U.S. addressees,BHCK KX66,BHCK KX67,BHCK KX68
HC-N-Memo,M.1.f.,Loan mods: All other loans,BHCK K126,BHCK K127,BHCK K128
HC-N-Memo,M.1.f.(1),Loan mods: Loans secured by farmland in domestic offices,BHDM K130,BHDM K131,BHDM K132
HC-N-Memo,M.1.f.(2),Loan mods: Agricultural production and other loans to farmers,BHCK K138,BHCK K139,BHCK K140
HC-N-Memo,M.1.f.(3)(a),Loan mods: Credit cards,BHCK K274,BHCK K275,BHCK K276
HC-N-Memo,M.1.f.(3)(b),Loan mods: Automobile loans,BHCK K277,BHCK K278,BHCK K279
HC-N-Memo,M.1.f.(3)(c),Loan mods: Other consumer loans,BHCK K280,BHCK K281,BHCK K282
HC-N-Memo,M.1.g.,Total loan modifications,BHCK HK26,BHCK HK27,BHCK HK28
HC-N-Memo,M.2.,CRE construction and land development (not secured by RE),BHCK 6558,BHCK 6559,BHCK 6560
HC-N-Memo,M.3.,Loans extended to non-U.S. addressees,BHCK 3508,BHCK 1912,BHCK 1913
HC-N-Memo,M.5.,Loans and leases held-for-sale,BHCK C240,BHCK C241,BHCK C226
Schedule,Item,Description,MDRM_PastDue30to89,MDRM_PastDue90plus
HC-N-Memo,M.6.,Derivative contracts: Fair value of amounts carried as assets,BHCK 3529,BHCK 3530
Schedule,Item,Description,MDRM
HC-N-Memo,M.7.,Additions to nonaccrual assets during previous six months (semiannual),BHCK C410
HC-N-Memo,M.8.,Nonaccrual assets sold during previous six months (semiannual),BHCK C411
