form_family,schedule,line_number,item_description,column_role,mdrm_code,forms,start_date,notes
call,RI,3,Net interest income (item 1.h minus 2.e),mdrm_031,RIAD4074,031/041/051,2017-03-31,Income-statement item (RIAD).
call,RI,3,Net interest income (item 1.h minus 2.e),mdrm_041,RIAD4074,031/041/051,2017-03-31,Income-statement item (RIAD).
call,RI,3,Net interest income (item 1.h minus 2.e),mdrm_051,RIAD4074,031/041/051,2017-03-31,Income-statement item (RIAD).
call,RI,4,Provisions for credit losses,mdrm_031,RIADJJ33,031/041/051,2019-03-31,Income-statement item (RIAD).
call,RI,4,Provisions for credit losses,mdrm_041,RIADJJ33,031/041/051,2019-03-31,Income-statement item (RIAD).
call,RI,4,Provisions for credit losses,mdrm_051,RIADJJ33,031/041/051,2019-03-31,Income-statement item (RIAD).
call,RI,9,Applicable income taxes (on item 8.c),mdrm_051,RIAD4300,031/041/051,2017-03-31,Income-statement item (RIAD). Form 051 reports as RIAD4300.
call,RI,9,Applicable income taxes (on item 8.c),mdrm_041,RIAD4302,031/041/051,2017-03-31,Income-statement item (RIAD). Form 051 reports as RIAD4300.
call,RI,9,Applicable income taxes (on item 8.c),mdrm_031,RIAD4302,031/041/051,2017-03-31,Income-statement item (RIAD). Form 051 reports as RIAD4300.
call,RI,10,Income (loss) before discontinued operations (item 8.c minus item 9),mdrm_031,RIAD4300,031/041/051,2017-03-31,Income-statement item (RIAD). Form 051 reports as RIADFT28.
call,RI,10,Income (loss) before discontinued operations (item 8.c minus item 9),mdrm_041,RIAD4300,031/041/051,2017-03-31,Income-statement item (RIAD). Form 051 reports as RIADFT28.
call,RI,10,Income (loss) before discontinued operations (item 8.c minus item 9),mdrm_051,RIADFT28,031/041/051,2017-03-31,Income-statement item (RIAD). Form 051 reports as RIADFT28.
call,RI,11,"Discontinued operations, net of applicable income taxes",mdrm_041,RIADFT28,031/041/051,2017-03-31,Income-statement item (RIAD). Form 051 reports as RIADG104.
call,RI,11,"Discontinued operations, net of applicable income taxes",mdrm_031,RIADFT28,031/041/051,2017-03-31,Income-statement item (RIAD). Form 051 reports as RIADG104.
call,RI,11,"Discontinued operations, net of applicable income taxes",mdrm_051,RIADG104,031/041/051,2017-03-31,Income-statement item (RIAD). Form 051 reports as RIADG104.
call,RI,12,Net income (loss) attributable to bank and noncontrolling (minority) interests (sum of items 10 and 11),mdrm_051,RIAD4340,031/041/051,2017-03-31,Income-statement item (RIAD). Form 051 reports as RIAD4340.
call,RI,12,Net income (loss) attributable to bank and noncontrolling (minority) interests (sum of items 10 and 11),mdrm_041,RIADG104,031/041/051,2017-03-31,Income-statement item (RIAD). Form 051 reports as RIAD4340.
call,RI,12,Net income (loss) attributable to bank and noncontrolling (minority) interests (sum of items 10 and 11),mdrm_031,RIADG104,031/041/051,2017-03-31,Income-statement item (RIAD). Form 051 reports as RIAD4340.
call,RI,13,LESS: Net income (loss) attributable to noncontrolling (minority) interests,mdrm_031,RIADG103,031/041,2017-03-31,Income-statement item (RIAD).
call,RI,13,LESS: Net income (loss) attributable to noncontrolling (minority) interests,mdrm_041,RIADG103,031/041,2017-03-31,Income-statement item (RIAD).
call,RI,14,Net income (loss) attributable to bank (item 12 minus item 13),mdrm_031,RIAD4340,031/041,2017-03-31,Income-statement item (RIAD).
call,RI,14,Net income (loss) attributable to bank (item 12 minus item 13),mdrm_041,RIAD4340,031/041,2017-03-31,Income-statement item (RIAD).
call,RI,051-2.f,Other interest expense,mdrm_051,RIADGW44,051,2017-03-31,Form 051 only (small-bank schedule); income-statement item (RIAD).
call,RI,051-5.d,"Investment banking, advisory, brokerage, and underwriting fees and commissions",mdrm_051,RIADHT74,051,2018-06-30,Form 051 only (small-bank schedule); income-statement item (RIAD).
call,RI,1.a.(1)(a),Loans secured by 1-4 family residential properties,mdrm_041,RIAD4435,041,2017-03-31,Income-statement item (RIAD).
call,RI,1.a.(1)(a)(1),Loans secured by 1-4 family residential properties,mdrm_031,RIAD4435,031,2017-03-31,Income-statement item (RIAD).
call,RI,1.a.(1)(a)(2),All other loans secured by real estate,mdrm_031,RIAD4436,031,2017-03-31,Income-statement item (RIAD).
call,RI,1.a.(1)(b),Loans to finance agricultural production and other loans to farmers,mdrm_031,RIAD4024,031/041,2017-03-31,Income-statement item (RIAD).
call,RI,1.a.(1)(b),Loans to finance agricultural production and other loans to farmers,mdrm_041,RIAD4436,031/041,2017-03-31,Income-statement item (RIAD).
call,RI,1.a.(1)(c),Commercial and industrial loans,mdrm_031,RIAD4012,031/051,2017-03-31,Income-statement item (RIAD).
call,RI,1.a.(1)(c),Commercial and industrial loans,mdrm_051,RIAD4012,031/051,2017-03-31,Income-statement item (RIAD).
call,RI,1.a.(1)(d)(1),Credit cards,mdrm_031,RIADB485,031,2017-03-31,Income-statement item (RIAD).
call,RI,1.a.(1)(d)(2),"Other (includes revolving credit plans other than credit cards, automobile loans, and other consumer loans)",mdrm_031,RIADB486,031,2017-03-31,Income-statement item (RIAD).
call,RI,1.a.(1)(e),Loans to foreign governments and official institutions,mdrm_031,RIAD4056,031,2001-03-31,Income-statement item (RIAD).
call,RI,1.a.(1)(f),All other loans in domestic offices,mdrm_031,RIADB487,031,2001-03-31,Income-statement item (RIAD).
call,RI,1.a.(2),"In foreign offices, Edge and Agreement subsidiaries, and IBFs",mdrm_041,RIAD4012,031/041,1984-03-31,Income-statement item (RIAD).
call,RI,1.a.(2),"In foreign offices, Edge and Agreement subsidiaries, and IBFs",mdrm_031,RIAD4059,031/041,1984-03-31,Income-statement item (RIAD).
call,RI,1.a.(3),Total interest and fee income on loans (sum of items 1.a.(1)(a) through 1.a.(2)),mdrm_031,RIAD4010,031,2017-03-31,Income-statement item (RIAD).
call,RI,1.a.(3)(a),Credit cards,mdrm_041,RIADB485,041,2017-03-31,Income-statement item (RIAD).
call,RI,1.a.(3)(b),"Other (includes revolving credit plans other than credit cards, automobile loans, and other consumer loans)",mdrm_041,RIADB486,041,2017-03-31,Income-statement item (RIAD).
call,RI,1.a.(5),All other loans,mdrm_041,RIAD4058,041/051,2017-03-31,Income-statement item (RIAD).
call,RI,1.a.(5),All other loans,mdrm_051,RIAD4058,041/051,2017-03-31,Income-statement item (RIAD).
call,RI,1.a.(6),Total interest and fee income on loans (sum of items 1.a.(1)(a) through 1.a.(5)),mdrm_041,RIAD4010,041,2017-03-31,Income-statement item (RIAD).
call,RI,1.b,Income from lease financing receivables,mdrm_031,RIAD4065,031/041/051,2017-03-31,Income-statement item (RIAD).
call,RI,1.b,Income from lease financing receivables,mdrm_041,RIAD4065,031/041/051,2017-03-31,Income-statement item (RIAD).
call,RI,1.b,Income from lease financing receivables,mdrm_051,RIAD4065,031/041/051,2017-03-31,Income-statement item (RIAD).
call,RI,1.c,Interest income on balances due from depository institutions,mdrm_031,RIAD4115,031/041,2017-03-31,Income-statement item (RIAD).
call,RI,1.c,Interest income on balances due from depository institutions,mdrm_041,RIAD4115,031/041,2017-03-31,Income-statement item (RIAD).
call,RI,1.d.(1),U.S. Treasury securities and U.S. Government agency obligations (excluding mortgage-backed securities),mdrm_031,RIADB488,031/041,2017-03-31,Income-statement item (RIAD).
call,RI,1.d.(1),U.S. Treasury securities and U.S. Government agency obligations (excluding mortgage-backed securities),mdrm_041,RIADB488,031/041,2017-03-31,Income-statement item (RIAD).
call,RI,1.d.(2),Mortgage-backed securities,mdrm_031,RIADB489,031/041/051,2017-03-31,Income-statement item (RIAD).
call,RI,1.d.(2),Mortgage-backed securities,mdrm_041,RIADB489,031/041/051,2017-03-31,Income-statement item (RIAD).
