form_family,schedule,line_number,item_description,column_role,mdrm_code,forms,start_date,notes
y9c,HC-M,1,Total number of holding company common shares outstanding,mdrm_code,BHCK3459,,1986-06-30,"Reported as a number (unrounded), not dollars"
y9c,HC-M,2,Debt maturing in one year or less issued to unrelated third parties by bank subsidiaries,mdrm_code,BHCK6555,,1990-09-30,Included in Schedule HC items 16 and 19.a
y9c,HC-M,3,Debt maturing in more than one year issued to unrelated third parties by bank subsidiaries,mdrm_code,BHCK6556,,1990-09-30,Included in Schedule HC items 16 and 19.a
y9c,HC-M,4,Other assets acquired in satisfaction of debts previously contracted,mdrm_code,BHCK6557,,1990-09-30,DPC assets other than OREO
y9c,HC-M,5,Securities purchased under agreements to resell offset against securities sold under agreements to repurchase on Schedule HC,mdrm_code,BHCKA288,,1997-03-31,Balance-sheet offsetting of reverse repos against repos
y9c,HC-M,6,Portion of covered other real estate owned (HC item 7) protected by FDIC loss-sharing agreements,mdrm_code,BHCKK192,,2011-03-31,Completed by holding companies with $5B+ in assets
y9c,HC-M,6,Portion of covered other real estate owned (HC item 7) protected by FDIC loss-sharing agreements,call_mdrm,RCFDK192,,2011-03-31,Completed by holding companies with $5B+ in assets
y9c,HC-M,8,"Business combination accounted for by the purchase method during the calendar year? (1=Yes, 0=No)",mdrm_code,BHCKC251,,2002-03-31,Yes/No indicator
y9c,HC-M,9,"Restated financial statements during the last quarter due to new/revised FAS? (1=Yes, 0=No)",mdrm_code,BHCK6689,,1990-09-30,Yes/No indicator
y9c,HC-M,11,"All changes in investments/activities reported on FR Y-10? (1=Yes/no changes, 0=No)",mdrm_code,BHCK6416,,1992-03-31,Yes/No indicator; must not be left blank or N/A
y9c,HC-M,13,Other real estate owned,mdrm_code,BHCT2150,,2001-03-31,Total OREO; component of HC item 7
y9c,HC-M,13,Other real estate owned,call_mdrm,RCFD2150,,2001-03-31,Total OREO; component of HC item 7
y9c,HC-M,15,"Does the holding company sell private label or third-party mutual funds and annuities? (1=Yes, 0=No)",mdrm_code,BHCKB569,,2001-03-31,Yes/No indicator
y9c,HC-M,15,"Does the holding company sell private label or third-party mutual funds and annuities? (1=Yes, 0=No)",call_mdrm,RCFDB569,,2001-03-31,Yes/No indicator
y9c,HC-M,16,Assets under management in proprietary mutual funds and annuities,mdrm_code,BHCKB570,,2001-03-31,Dollar amount
y9c,HC-M,16,Assets under management in proprietary mutual funds and annuities,call_mdrm,RCFDB570,,2001-03-31,Dollar amount
y9c,HC-M,17,"Holds nonfinancial equity investments within SBIC/4(c)(6)/4(c)(7)/merchant-banking/Reg K authority? (1=Yes, 0=No)",mdrm_code,BHCKC161,,2001-09-30,Yes/No indicator; gating question for FR Y-12
y9c,HC-M,18,"Aggregate nonfinancial equity investments >= lesser of $100M or 10% of Tier 1 capital? (1=Yes, 0=No)",mdrm_code,BHCKC159,,2001-09-30,Yes/No indicator; gating question for FR Y-12
y9c,HC-M,21,"Net assets of subsidiaries in insurance/reinsurance underwriting (4(k)(4)(B), GLBA)",mdrm_code,BHCKC253,,2002-03-31,Financial holding companies only
y9c,HC-M,22,Address (URL) for the reporting holding company's web page displaying risk disclosures,mdrm_code,TEXTC497,,2004-03-31,Text field; $30B+ asset filers
y9c,HC-M,11(text-a),Name of Holding Company Official Verifying FR Y-10 Reporting,mdrm_code,TEXT6428,,2009-06-30,Text field; no dollar amount
y9c,HC-M,11(text-b),Area Code / Phone Number (FR Y-10 verifying official),mdrm_code,TEXT9009,,1998-06-30,Text field; no dollar amount
